"Protein","h2","Lambda_GC","Mean_Chi_.2","Intercept","Ratio","h2_no_se","h2_se","intercept_no_se","intercept_se","ratio_no_se","ratio_se"
"ANGPT2.13660.76.3","-0.0253(0.1365)","0.9957","1.0074","1.0091(0.0059)","1.2299(0.7967)",-0.0253,0.1365,1.0091,0.0059,1.2299,0.7967
"APCS.2474.54.5","0.2132(0.1355)","1.0496","1.0154","1.0008(0.0069)","0.0547(0.4469)",0.2132,0.1355,1.0008,0.0069,0.0547,0.4469
"APOB.2797.56.2","0.1581(0.1456)","0.9957","1.0134","1.0028(0.0068)","0.206(0.5029)",0.1581,0.1456,1.0028,0.0068,0.206,0.5029
"APOE.2937.10.2","0.0483(0.1378)","0.9957","1.007","1.0037(0.0067)","0.5316(0.9626)",0.0483,0.1378,1.0037,0.0067,0.5316,0.9626
"C3.2755.8.2","-0.2689(0.1438)","0.9957","0.9974","1.0155(0.0072)","NA(meanchi^2<1)",-0.2689,0.1438,1.0155,0.0072,NA,NA
"C4A.C4B.4481.34.2","0.0196(0.1433)","0.9957","1.0031","1.0017(0.007)","0.5568(2.2578)",0.0196,0.1433,1.0017,0.007,0.5568,2.2578
"CCL26.9168.31.3","0.1194(0.1496)","0.9957","1.0164","1.0084(0.0069)","0.513(0.4194)",0.1194,0.1496,1.0084,0.0069,0.513,0.4194
"CFH.4159.130.1","0.3227(0.1756)","1.0496","1.0289","1.0072(0.0069)","0.2488(0.2404)",0.3227,0.1756,1.0072,0.0069,0.2488,0.2404
"CLU.4542.24.2","0.0456(0.1341)","0.9957","1.0032","1.0001(0.007)","0.0398(2.2123)",0.0456,0.1341,1.0001,0.007,0.0398,2.2123
"CRP.4337.49.2","0.0899(0.1459)","0.9957","1.0119","1.0057(0.0064)","0.4809(0.542)",0.0899,0.1459,1.0057,0.0064,0.4809,0.542
"CSF3.8952.65.3","0.0712(0.1417)","0.9957","1.017","1.0122(0.0072)","0.7209(0.4254)",0.0712,0.1417,1.0122,0.0072,0.7209,0.4254
"CXCL8.3447.64.2","0.225(0.1237)","0.9957","1.0024","0.9872(0.0069)",NA,0.225,0.1237,0.9872,0.0069,NA,NA
"FGA.FGB.FGG.4907.56.1","0.2009(0.1443)","0.9957","1.0164","1.003(0.0064)","0.1848(0.3907)",0.2009,0.1443,1.003,0.0064,0.1848,0.3907
"GC.6581.50.3","-0.1743(0.1328)","0.9957","0.9925","1.0043(0.0065)","NA(meanchi^2<1)",-0.1743,0.1328,1.0043,0.0065,NA,NA
"HP.3054.3.2","0.7777(0.4792)","1.0496","1.0579","1.002(0.0076)","0.0349(0.1308)",0.7777,0.4792,1.002,0.0076,0.0349,0.1308
"IGFBP2.2570.72.5","0.2408(0.1335)","0.9957","1.0196","1.0037(0.0067)","0.1876(0.3423)",0.2408,0.1335,1.0037,0.0067,0.1876,0.3423
"IL10.2773.50.2","-0.0074(0.1383)","0.9957","0.9991","0.9996(0.0066)","NA(meanchi^2<1)",-0.0074,0.1383,0.9996,0.0066,NA,NA
"IL13.3072.4.2","0.0772(0.1509)","0.9957","1.0061","1.0009(0.0074)","0.147(1.2053)",0.0772,0.1509,1.0009,0.0074,0.147,1.2053
"IL3.4717.55.2","-0.1726(0.1336)","0.9957","1.0004","1.012(0.0069)","28.1624(16.154)",-0.1726,0.1336,1.012,0.0069,28.1624,16.154
"KITLG.9377.25.3","0.0216(0.1259)","0.9957","1.0028","1.0013(0.0065)","0.4783(2.3337)",0.0216,0.1259,1.0013,0.0065,0.4783,2.3337
"MMP9.2579.17.5","0.1464(0.1384)","0.9957","1.0116","1.0017(0.0073)","0.1506(0.6335)",0.1464,0.1384,1.0017,0.0073,0.1506,0.6335
"NPPB.3723.1.2","-0.193(0.1394)","0.9957","0.996","1.009(0.0073)","NA(meanchi^2<1)",-0.193,0.1394,1.009,0.0073,NA,NA
"PLG.3710.49.2","0.1738(0.1443)","0.9957","1.017","1.0053(0.0067)","0.3128(0.3907)",0.1738,0.1443,1.0053,0.0067,0.3128,0.3907
"PPY.4588.1.2","0.045(0.1422)","0.9957","1.0059","1.0029(0.007)","0.486(1.194)",0.045,0.1422,1.0029,0.007,0.486,1.194
"RETN.3046.31.1","0.3632(0.1827)","0.9957","1.0163","0.9908(0.0078)",NA,0.3632,0.1827,0.9908,0.0078,NA,NA
"SERPING1.4479.14.2","0.3771(0.3148)","0.9957","1.0347","1.0092(0.0066)","0.2645(0.1911)",0.3771,0.3148,1.0092,0.0066,0.2645,0.1911
"TF.4162.54.2","-0.2972(0.1433)","0.9957","0.9988","1.0188(0.0068)","NA(meanchi^2<1)",-0.2972,0.1433,1.0188,0.0068,NA,NA
"TNC.4155.3.2","0.2383(0.2095)","0.9957","1.0222","1.0064(0.0074)","0.2864(0.3345)",0.2383,0.2095,1.0064,0.0074,0.2864,0.3345
"TNF.5936.53.3","-0.1328(0.1451)","0.9957","0.9951","1.004(0.0069)","NA(meanchi^2<1)",-0.1328,0.1451,1.004,0.0069,NA,NA
"VCAM1.2967.8.1","0.3455(0.1542)","0.9957","1.02","0.9963(0.007)",NA,0.3455,0.1542,0.9963,0.007,NA,NA
"VTN.13125.45.3","0.1619(0.238)","0.9957","1.0255","1.0146(0.0068)","0.5742(0.2682)",0.1619,0.238,1.0146,0.0068,0.5742,0.2682
